Система нелінійних рівнянь:
  f₁(x₁,x₂) = x₁² + x₂² - 4 = 0
  f₂(x₁,x₂) = x₁·x₂ - 1 = 0

Цільова функція:
  Φ(x₁,x₂) = f₁² + f₂²

Параметри методу:
  X⁰ = (2.0, 1.0)
  ΔX = (0.1, 0.1)
  ε₁ = 1e-06
  ε₂ = 1e-06
  q = 2.0
  p = 2.0

ТРАЄКТОРІЯ СПУСКУ:
----------------------------------------------------------------------
№ кроку    x₁                   x₂                   Φ(X)                
160        1.9318516526         0.5176380902         1.23e-32            
161        1.9318516526         0.5176380902         1.23e-32            
162        1.9318516526         0.5176380902         1.23e-32            
163        1.9318516526         0.5176380902         1.23e-32            
164        1.9318516526         0.5176380902         1.23e-32            
165        1.9318516526         0.5176380902         1.23e-32            
166        1.9318516526         0.5176380902         1.23e-32            
167        1.9318516526         0.5176380902         1.23e-32            
168        1.9318516526         0.5176380902         1.23e-32            
169        1.9318516526         0.5176380902         1.23e-32            
170        1.9318516526         0.5176380902         1.23e-32            
171        1.9318516526         0.5176380902         1.23e-32            
172        1.9318516526         0.5176380902         1.23e-32            
173        1.9318516526         0.5176380902         1.23e-32            
174        1.9318516526         0.5176380902         1.23e-32            
175        1.9318516526         0.5176380902         1.23e-32            
176        1.9318516526         0.5176380902         1.23e-32            
177        1.9318516526         0.5176380902         1.23e-32            
178        1.9318516526         0.5176380902         1.23e-32            
179        1.9318516526         0.5176380902         1.23e-32            
180        1.9318516526         0.5176380902         1.23e-32            
181        1.9318516526         0.5176380902         1.23e-32            
182        1.9318516526         0.5176380902         1.23e-32            
183        1.9318516526         0.5176380902         1.23e-32            
184        1.9318516526         0.5176380902         1.23e-32            
185        1.9318516526         0.5176380902         1.23e-32            
186        1.9318516526         0.5176380902         1.23e-32            
187        1.9318516526         0.5176380902         1.23e-32            
188        1.9318516526         0.5176380902         1.23e-32            
189        1.9318516526         0.5176380902         1.23e-32            
190        1.9318516526         0.5176380902         1.23e-32            
191        1.9318516526         0.5176380902         1.23e-32            
192        1.9318516526         0.5176380902         1.23e-32            
193        1.9318516526         0.5176380902         1.23e-32            
194        1.9318516526         0.5176380902         1.23e-32            
195        1.9318516526         0.5176380902         1.23e-32            
196        1.9318516526         0.5176380902         1.23e-32            
197        1.9318516526         0.5176380902         1.23e-32            
198        1.9318516526         0.5176380902         1.23e-32            
199        1.9318516526         0.5176380902         1.23e-32            
200        1.9318516526         0.5176380902         1.23e-32            
201        1.9318516526         0.5176380902         1.23e-32            
202        1.9318516526         0.5176380902         1.23e-32            
203        1.9318516526         0.5176380902         1.23e-32            
204        1.9318516526         0.5176380902         1.23e-32            
205        1.9318516526         0.5176380902         1.23e-32            
206        1.9318516526         0.5176380902         1.23e-32            
207        1.9318516526         0.5176380902         1.23e-32            
208        1.9318516526         0.5176380902         1.23e-32            
209        1.9318516526         0.5176380902         1.23e-32            
210        1.9318516526         0.5176380902         1.23e-32            
211        1.9318516526         0.5176380902         1.23e-32            
212        1.9318516526         0.5176380902         1.23e-32            
213        1.9318516526         0.5176380902         1.23e-32            
214        1.9318516526         0.5176380902         1.23e-32            
215        1.9318516526         0.5176380902         1.23e-32            
216        1.9318516526         0.5176380902         1.23e-32            
217        1.9318516526         0.5176380902         1.23e-32            
218        1.9318516526         0.5176380902         1.23e-32            
219        1.9318516526         0.5176380902         1.23e-32            
220        1.9318516526         0.5176380902         1.23e-32            
221        1.9318516526         0.5176380902         1.23e-32            
222        1.9318516526         0.5176380902         1.23e-32            
223        1.9318516526         0.5176380902         1.23e-32            
224        1.9318516526         0.5176380902         1.23e-32            
225        1.9318516526         0.5176380902         1.23e-32            
226        1.9318516526         0.5176380902         1.23e-32            
227        1.9318516526         0.5176380902         1.23e-32            
228        1.9318516526         0.5176380902         1.23e-32            
229        1.9318516526         0.5176380902         1.23e-32            
230        1.9318516526         0.5176380902         1.23e-32            
231        1.9318516526         0.5176380902         1.23e-32            
232        1.9318516526         0.5176380902         1.23e-32            
233        1.9318516526         0.5176380902         1.23e-32            
234        1.9318516526         0.5176380902         1.23e-32            
235        1.9318516526         0.5176380902         1.23e-32            
236        1.9318516526         0.5176380902         1.23e-32            
237        1.9318516526         0.5176380902         1.23e-32            
238        1.9318516526         0.5176380902         1.23e-32            
239        1.9318516526         0.5176380902         1.23e-32            
240        1.9318516526         0.5176380902         1.23e-32            
241        1.9318516526         0.5176380902         1.23e-32            
242        1.9318516526         0.5176380902         1.23e-32            
243        1.9318516526         0.5176380902         1.23e-32            
244        1.9318516526         0.5176380902         1.23e-32            
245        1.9318516526         0.5176380902         1.23e-32            
246        1.9318516526         0.5176380902         1.23e-32            
247        1.9318516526         0.5176380902         1.23e-32            
248        1.9318516526         0.5176380902         1.23e-32            
249        1.9318516526         0.5176380902         1.23e-32            
250        1.9318516526         0.5176380902         1.23e-32            
251        1.9318516526         0.5176380902         1.23e-32            
252        1.9318516526         0.5176380902         1.23e-32            
253        1.9318516526         0.5176380902         1.23e-32            
254        1.9318516526         0.5176380902         1.23e-32            
255        1.9318516526         0.5176380902         1.23e-32            
256        1.9318516526         0.5176380902         1.23e-32            
257        1.9318516526         0.5176380902         1.23e-32            
258        1.9318516526         0.5176380902         1.23e-32            
259        1.9318516526         0.5176380902         1.23e-32            
260        1.9318516526         0.5176380902         1.23e-32            
261        1.9318516526         0.5176380902         1.23e-32            
262        1.9318516526         0.5176380902         1.23e-32            
263        1.9318516526         0.5176380902         1.23e-32            
264        1.9318516526         0.5176380902         1.23e-32            
265        1.9318516526         0.5176380902         1.23e-32            
266        1.9318516526         0.5176380902         1.23e-32            
267        1.9318516526         0.5176380902         1.23e-32            
268        1.9318516526         0.5176380902         1.23e-32            
269        1.9318516526         0.5176380902         1.23e-32            
270        1.9318516526         0.5176380902         1.23e-32            
271        1.9318516526         0.5176380902         1.23e-32            
272        1.9318516526         0.5176380902         1.23e-32            
273        1.9318516526         0.5176380902         1.23e-32            
274        1.9318516526         0.5176380902         1.23e-32            
275        1.9318516526         0.5176380902         1.23e-32            
276        1.9318516526         0.5176380902         1.23e-32            
277        1.9318516526         0.5176380902         1.23e-32            
278        1.9318516526         0.5176380902         1.23e-32            
279        1.9318516526         0.5176380902         1.23e-32            
280        1.9318516526         0.5176380902         1.23e-32            
281        1.9318516526         0.5176380902         1.23e-32            
282        1.9318516526         0.5176380902         1.23e-32            
283        1.9318516526         0.5176380902         1.23e-32            
284        1.9318516526         0.5176380902         1.23e-32            
285        1.9318516526         0.5176380902         1.23e-32            
286        1.9318516526         0.5176380902         1.23e-32            
287        1.9318516526         0.5176380902         1.23e-32            
288        1.9318516526         0.5176380902         1.23e-32            
289        1.9318516526         0.5176380902         1.23e-32            
290        1.9318516526         0.5176380902         1.23e-32            
291        1.9318516526         0.5176380902         1.23e-32            
292        1.9318516526         0.5176380902         1.23e-32            
293        1.9318516526         0.5176380902         1.23e-32            
294        1.9318516526         0.5176380902         1.23e-32            
295        1.9318516526         0.5176380902         1.23e-32            
296        1.9318516526         0.5176380902         1.23e-32            
297        1.9318516526         0.5176380902         1.23e-32            
298        1.9318516526         0.5176380902         1.23e-32            
299        1.9318516526         0.5176380902         1.23e-32            
300        1.9318516526         0.5176380902         1.23e-32            
301        1.9318516526         0.5176380902         1.23e-32            
302        1.9318516526         0.5176380902         1.23e-32            
303        1.9318516526         0.5176380902         1.23e-32            
304        1.9318516526         0.5176380902         1.23e-32            
305        1.9318516526         0.5176380902         1.23e-32            
306        1.9318516526         0.5176380902         1.23e-32            
307        1.9318516526         0.5176380902         1.23e-32            
308        1.9318516526         0.5176380902         1.23e-32            
309        1.9318516526         0.5176380902         1.23e-32            
310        1.9318516526         0.5176380902         1.23e-32            
311        1.9318516526         0.5176380902         1.23e-32            
312        1.9318516526         0.5176380902         1.23e-32            
313        1.9318516526         0.5176380902         1.23e-32            
314        1.9318516526         0.5176380902         1.23e-32            
315        1.9318516526         0.5176380902         1.23e-32            
316        1.9318516526         0.5176380902         1.23e-32            
317        1.9318516526         0.5176380902         1.23e-32            
318        1.9318516526         0.5176380902         1.23e-32            
319        1.9318516526         0.5176380902         1.23e-32            
320        1.9318516526         0.5176380902         1.23e-32            
321        1.9318516526         0.5176380902         1.23e-32            
322        1.9318516526         0.5176380902         1.23e-32            
323        1.9318516526         0.5176380902         1.23e-32            
324        1.9318516526         0.5176380902         1.23e-32            
325        1.9318516526         0.5176380902         1.23e-32            
326        1.9318516526         0.5176380902         1.23e-32            
327        1.9318516526         0.5176380902         1.23e-32            
328        1.9318516526         0.5176380902         1.23e-32            
329        1.9318516526         0.5176380902         1.23e-32            
330        1.9318516526         0.5176380902         1.23e-32            
331        1.9318516526         0.5176380902         1.23e-32            
